"","Clim01","Clim02","Clim03","Clim04","Clim05","Clim06","Clim07","Clim08","Clim09","Clim10","Clim11","Clim12","Clim13","Clim14","Clim15","Clim16","Clim17","Clim18","Clim19","dem","arachide"
"1",271,160,65,1891,387,143,244,277,267,291,241,535,192,0,145,455,0,36,2,30,200
"2",273,157,64,2063,391,146,245,278,270,295,241,445,153,0,141,377,1,30,3,57,200
"3",252,125,69,1862,328,147,181,272,235,272,227,370,139,0,157,328,0,292,2,49,375
"4",256,132,70,1802,334,146,188,273,240,274,230,377,142,0,153,333,0,224,2,44,67
"5",272,160,66,1892,386,145,241,280,267,292,242,530,192,0,145,456,0,145,2,27,133
"6",275,159,67,1798,385,149,236,284,270,294,247,556,201,0,147,480,0,145,2,20,500
"7",273,161,66,1830,388,146,242,279,269,292,244,551,192,0,145,469,0,36,2,39,40
"8",265,151,69,1626,360,143,217,276,256,280,239,547,212,0,154,481,0,129,1,17,100
"9",261,141,70,1625,345,144,201,273,240,276,235,495,191,0,153,437,0,305,0,35,400
"10",271,154,66,1731,377,147,230,278,268,288,244,590,209,0,145,506,0,160,2,17,800
"11",271,154,64,2055,385,147,238,278,282,293,239,409,141,0,141,347,1,110,4,45,145
"12",269,158,66,1882,380,144,236,277,264,289,240,500,182,0,148,432,0,136,2,36,167
"13",269,152,64,2041,380,146,234,278,279,291,237,398,137,0,142,337,1,102,4,45,200
"14",275,159,64,1996,395,147,248,278,275,299,245,477,157,0,141,398,0,32,3,34,250
"15",263,145,70,1682,351,144,207,275,252,278,236,490,184,0,153,428,0,296,2,26,150
"16",255,129,68,1762,334,147,187,272,240,273,230,398,148,0,152,351,0,232,2,42,225
"17",260,141,70,1589,344,145,199,273,241,276,236,491,189,0,156,434,0,301,0,39,500
"18",274,142,66,1459,371,159,212,278,273,288,251,690,245,0,143,581,0,53,2,26,450
"19",276,159,67,1812,385,148,237,284,270,294,248,552,201,0,147,477,0,142,2,17,450
"20",284,157,61,2305,406,152,254,289,283,311,250,450,148,0,139,374,0,31,1,34,111
"21",283,157,62,2189,404,154,250,289,280,308,250,429,141,0,141,358,1,28,3,48,250
"22",270,158,67,1844,379,144,235,279,264,289,241,509,185,0,147,440,0,135,2,40,300
"23",254,129,67,1966,334,144,190,274,229,274,227,369,140,0,156,326,0,289,0,40,340
"24",272,160,65,1918,390,145,245,276,271,293,242,507,174,0,141,426,0,36,2,34,400
"25",284,157,63,2199,403,155,248,291,296,307,250,417,139,0,142,349,1,26,3,15,0
"26",284,157,63,2253,404,155,249,292,297,309,250,413,136,0,139,344,1,26,3,15,440
"27",275,160,66,1874,388,148,240,283,271,295,246,537,192,0,147,462,0,145,2,22,40
"28",265,153,69,1673,363,142,221,276,257,281,239,541,208,0,152,474,0,128,1,24,1000
"29",265,147,69,1624,357,145,212,276,266,280,239,559,218,0,154,491,0,131,2,20,100
"30",256,133,70,1799,335,145,190,273,240,273,229,383,144,0,155,337,0,228,2,43,200
"31",275,159,66,1793,387,148,239,282,272,294,247,566,194,0,143,483,0,159,2,26,150
"32",274,145,67,1489,371,156,215,278,271,288,250,636,232,0,145,544,0,175,2,9,450
"33",260,142,69,1768,347,144,203,274,248,276,232,434,163,0,147,372,1,264,3,43,533
"34",277,160,66,1873,390,149,241,286,272,297,249,549,195,0,147,472,0,147,2,17,325
